iter	Passed	Remaining
0	12	6226
1	13	3429
2	14	2435
3	16	2058
4	17	1710
5	17	1460
6	18	1273
7	18	1140
8	18	1031
9	19	943
10	19	870
11	19	809
12	20	766
13	21	732
14	21	698
15	21	665
16	22	634
17	23	621
18	23	595
19	23	572
20	24	553
21	24	535
22	25	520
23	25	508
24	26	496
25	26	488
26	27	475
27	27	463
28	27	453
29	28	443
30	28	434
31	29	426
32	29	418
33	30	411
34	30	404
35	30	397
36	31	389
37	31	382
38	31	375
39	32	369
40	32	362
41	32	357
42	33	352
43	33	346
44	33	342
45	34	337
46	34	333
47	34	329
48	35	326
49	35	322
50	36	320
51	37	319
52	37	315
53	37	312
54	38	308
55	38	304
56	38	302
57	39	298
58	39	295
59	39	293
60	40	289
61	40	286
62	40	283
63	41	281
64	41	278
65	41	276
66	42	273
67	42	270
68	42	268
69	43	269
70	44	268
71	44	266
72	45	263
73	45	262
74	46	261
75	46	261
76	47	259
77	47	258
78	48	256
79	48	255
80	49	253
81	49	252
82	49	250
83	50	248
84	50	246
85	50	245
86	51	243
87	51	242
88	52	241
89	52	239
90	53	239
91	53	237
92	53	235
93	54	234
94	54	232
95	54	230
96	55	229
97	55	227
98	55	226
99	56	226
100	57	225
101	57	224
102	57	223
103	58	221
104	58	220
105	59	219
106	59	218
107	59	217
108	60	215
109	60	214
110	60	212
111	61	211
112	61	210
113	62	210
114	62	209
115	62	208
116	63	207
117	63	206
118	64	205
119	64	203
120	64	202
121	65	201
122	65	200
123	65	199
124	67	201
125	68	203
126	69	203
127	70	205
128	71	205
129	71	204
130	72	203
131	72	202
132	73	201
133	73	200
134	74	200
135	74	199
136	75	198
137	75	197
138	75	197
139	76	196
140	76	195
141	77	194
142	78	196
143	79	195
144	79	195
145	80	195
146	81	195
147	81	194
148	82	194
149	83	195
150	84	194
151	84	193
152	84	192
153	85	191
154	85	191
155	86	190
156	86	189
157	87	188
158	87	187
159	87	186
160	88	186
161	88	185
162	89	184
163	89	183
164	90	183
165	90	182
166	90	181
167	91	180
168	91	179
169	92	178
170	92	178
171	93	177
172	93	177
173	94	176
174	95	176
175	96	177
176	96	176
177	97	175
178	97	174
179	98	174
180	98	174
181	99	173
182	99	172
183	100	171
184	100	171
185	100	170
186	101	169
187	101	168
188	102	167
189	103	168
190	103	167
191	104	166
192	104	166
193	104	165
194	105	165
195	106	164
196	106	163
197	106	162
198	107	162
199	107	161
200	109	163
201	110	163
202	111	162
203	111	162
204	112	161
205	112	160
206	113	160
207	114	160
208	114	159
209	114	158
210	116	158
211	116	158
212	116	157
213	116	156
214	117	155
215	117	154
216	117	153
217	118	152
218	118	152
219	118	151
220	119	150
221	119	149
222	120	149
223	120	148
224	120	147
225	121	147
226	121	146
227	121	145
228	122	144
229	122	144
230	123	143
231	123	142
232	123	141
233	124	141
234	124	140
235	124	139
236	125	138
237	125	137
238	125	137
239	125	136
240	126	135
241	126	135
242	126	134
243	127	133
244	127	132
245	127	132
246	128	131
247	129	131
248	129	130
249	129	129
250	130	129
251	130	128
252	131	128
253	131	127
254	131	126
255	132	126
256	133	126
257	133	125
258	134	124
259	134	124
260	134	123
261	135	122
262	135	122
263	136	121
264	136	121
265	137	120
266	137	120
267	138	119
268	138	118
269	138	118
